country,gov_dem_2011,gov_cli_2022,gov_pri_2022,gov_cpi_2017,gov_dem_2011_n,gov_cli_2022_n,gov_pri_2022_n,gov_cpi_2017_n
Afghanistan,,7.0,7.0,15.0,,0.0,0.0,7.5
Angola,-2.0,5.0,6.0,19.0,40.0,33.333336,16.666664,12.5
Albania,9.0,3.0,3.0,38.0,95.0,66.66667,66.66667,36.25
UAE,-8.0,6.0,7.0,71.0,10.0,16.666664,0.0,77.5
Argentina,8.0,2.0,2.0,39.0,90.0,83.333336,83.333336,37.5
Armenia,5.0,4.0,4.0,35.0,75.0,50.0,50.0,32.5
Australia,10.0,1.0,1.0,77.0,100.0,100.0,100.0,85.0
Austria,10.0,1.0,1.0,75.0,100.0,100.0,100.0,82.5
Azerbaijan,-7.0,7.0,7.0,31.0,15.0,0.0,0.0,27.5
Burundi,6.0,6.0,7.0,22.0,80.0,16.666664,0.0,16.25
Belgium,8.0,1.0,1.0,75.0,90.0,100.0,100.0,82.5
Benin,7.0,3.0,5.0,39.0,85.0,66.66667,33.333336,37.5
Burkina Faso,0.0,4.0,7.0,42.0,50.0,50.0,0.0,41.25
Bangladesh,5.0,5.0,5.0,28.0,75.0,33.333336,33.333336,23.75
Bulgaria,9.0,2.0,2.0,43.0,95.0,83.333336,83.333336,42.5
Bahrain,-8.0,6.0,7.0,36.0,10.0,16.666664,0.0,33.75
Bosnia and Herzegovina,,4.0,4.0,38.0,,50.0,50.0,36.25
Belarus,-7.0,7.0,7.0,44.0,15.0,0.0,0.0,43.75
Bolivia,7.0,3.0,3.0,33.0,85.0,66.66667,66.66667,30.0
Brazil,8.0,3.0,2.0,37.0,90.0,66.66667,83.333336,35.0
Bhutan,3.0,4.0,3.0,67.0,65.0,50.0,66.66667,72.5
Botswana,8.0,2.0,3.0,61.0,90.0,83.333336,66.66667,65.0
Central African Republic,-1.0,7.0,7.0,23.0,45.0,0.0,0.0,17.5
Canada,10.0,1.0,1.0,82.0,100.0,100.0,100.0,91.25
Switzerland,10.0,1.0,1.0,85.0,100.0,100.0,100.0,95.0
Chile,10.0,1.0,1.0,67.0,100.0,100.0,100.0,72.5
China,-7.0,6.0,7.0,41.0,15.0,16.666664,0.0,40.0
Cote d'Ivoire,0.0,4.0,4.0,36.0,50.0,50.0,50.0,33.75
Cameroon,-4.0,6.0,6.0,25.0,30.0,16.666664,16.666664,20.0
"Congo, Dem. Rep.",5.0,6.0,7.0,21.0,75.0,16.666664,0.0,15.0
"Congo, Rep.",-4.0,6.0,7.0,21.0,30.0,16.666664,0.0,15.0
Colombia,7.0,3.0,2.0,37.0,85.0,66.66667,83.333336,35.0
Comoros,9.0,4.0,5.0,27.0,95.0,50.0,33.333336,22.5
Cape Verde,10.0,1.0,1.0,55.0,100.0,100.0,100.0,57.5
Costa Rica,10.0,1.0,1.0,59.0,100.0,100.0,100.0,62.5
Cuba,-7.0,6.0,7.0,47.0,15.0,16.666664,0.0,47.5
Cyprus,10.0,1.0,1.0,57.0,100.0,100.0,100.0,60.0
Czech Republic,8.0,1.0,1.0,57.0,90.0,100.0,100.0,60.0
Germany,10.0,1.0,1.0,81.0,100.0,100.0,100.0,90.0
Djibouti,2.0,5.0,7.0,31.0,60.0,33.333336,0.0,27.5
Denmark,10.0,1.0,1.0,88.0,100.0,100.0,100.0,98.75
Dominican Republic,8.0,3.0,3.0,29.0,90.0,66.66667,66.66667,25.0
Algeria,2.0,5.0,6.0,33.0,60.0,33.333336,16.666664,30.0
Ecuador,5.0,3.0,2.0,32.0,75.0,66.66667,83.333336,28.75
Egypt,-2.0,6.0,6.0,32.0,40.0,16.666664,16.666664,28.75
Eritrea,-7.0,7.0,7.0,20.0,15.0,0.0,0.0,13.75
Spain,10.0,1.0,1.0,57.0,100.0,100.0,100.0,60.0
Estonia,9.0,1.0,1.0,71.0,95.0,100.0,100.0,77.5
Ethiopia,1.0,6.0,6.0,35.0,55.0,16.666664,16.666664,32.5
Finland,10.0,1.0,1.0,85.0,100.0,100.0,100.0,95.0
France,9.0,2.0,1.0,70.0,95.0,83.333336,100.0,76.25
Gabon,3.0,5.0,7.0,32.0,65.0,33.333336,0.0,28.75
UK,10.0,1.0,1.0,82.0,100.0,100.0,100.0,91.25
Georgia,6.0,3.0,4.0,56.0,80.0,66.66667,50.0,58.75
Ghana,8.0,2.0,2.0,40.0,90.0,83.333336,83.333336,38.75
Guinea,5.0,5.0,6.0,27.0,75.0,33.333336,16.666664,22.5
Gambia,-5.0,4.0,4.0,30.0,25.0,50.0,50.0,26.25
Guinea-Bissau,6.0,4.0,5.0,17.0,80.0,50.0,33.333336,10.0
Equatorial Guinea,-5.0,7.0,7.0,17.0,25.0,0.0,0.0,10.0
Greece,10.0,2.0,2.0,48.0,100.0,83.333336,83.333336,48.75
Guatemala,8.0,4.0,4.0,28.0,90.0,50.0,50.0,23.75
Guyana,6.0,3.0,2.0,38.0,80.0,66.66667,83.333336,36.25
Honduras,7.0,4.0,4.0,29.0,85.0,50.0,50.0,25.0
Croatia,9.0,2.0,2.0,49.0,95.0,83.333336,83.333336,50.0
Haiti,0.0,5.0,6.0,22.0,50.0,33.333336,16.666664,16.25
Hungary,10.0,3.0,3.0,45.0,100.0,66.66667,66.66667,45.0
Indonesia,8.0,4.0,2.0,37.0,90.0,50.0,83.333336,35.0
India,9.0,4.0,2.0,40.0,95.0,50.0,83.333336,38.75
Ireland,10.0,1.0,1.0,74.0,100.0,100.0,100.0,81.25
Iran,-7.0,6.0,7.0,30.0,15.0,16.666664,0.0,26.25
Iraq,3.0,6.0,5.0,18.0,65.0,16.666664,33.333336,11.25
Israel,10.0,3.0,2.0,62.0,100.0,66.66667,83.333336,66.25
Italy,10.0,1.0,1.0,50.0,100.0,100.0,100.0,51.25
Jamaica,9.0,2.0,2.0,44.0,95.0,83.333336,83.333336,43.75
Jordan,-3.0,5.0,6.0,48.0,35.0,33.333336,16.666664,48.75
Japan,10.0,1.0,1.0,73.0,100.0,100.0,100.0,80.0
Kazakhstan,-6.0,5.0,7.0,31.0,20.0,33.333336,0.0,27.5
Kenya,8.0,4.0,4.0,28.0,90.0,50.0,50.0,23.75
Kyrgyz Republic,7.0,5.0,7.0,29.0,85.0,33.333336,0.0,25.0
Cambodia,2.0,5.0,7.0,21.0,60.0,33.333336,0.0,15.0
South Korea,8.0,2.0,2.0,54.0,90.0,83.333336,83.333336,56.25
Kuwait,-7.0,5.0,5.0,39.0,15.0,33.333336,33.333336,37.5
Lao,-7.0,6.0,7.0,29.0,15.0,16.666664,0.0,25.0
Lebanon,7.0,4.0,5.0,28.0,85.0,50.0,33.333336,23.75
Liberia,6.0,4.0,3.0,31.0,80.0,50.0,66.66667,27.5
Libya,0.0,6.0,7.0,17.0,50.0,16.666664,0.0,10.0
Sri Lanka,4.0,4.0,4.0,38.0,70.0,50.0,50.0,36.25
Lesotho,8.0,3.0,2.0,42.0,90.0,66.66667,83.333336,41.25
Lithuania,10.0,2.0,1.0,59.0,100.0,83.333336,100.0,62.5
Latvia,8.0,2.0,1.0,58.0,90.0,83.333336,100.0,61.25
Morocco,-4.0,5.0,5.0,40.0,30.0,33.333336,33.333336,38.75
Moldova,8.0,3.0,3.0,31.0,90.0,66.66667,66.66667,27.5
Madagascar,0.0,4.0,3.0,24.0,50.0,50.0,66.66667,18.75
Mexico,8.0,4.0,3.0,29.0,90.0,50.0,66.66667,25.0
North Macedonia,9.0,3.0,3.0,35.0,95.0,66.66667,66.66667,32.5
Mali,7.0,5.0,6.0,31.0,85.0,33.333336,16.666664,27.5
Myanmar,-3.0,6.0,7.0,30.0,35.0,16.666664,0.0,26.25
Montenegro,9.0,3.0,3.0,46.0,95.0,66.66667,66.66667,46.25
Mongolia,10.0,2.0,1.0,36.0,100.0,83.333336,100.0,33.75
Mozambique,5.0,4.0,5.0,25.0,75.0,50.0,33.333336,20.0
Mauritania,-2.0,5.0,5.0,28.0,40.0,33.333336,33.333336,23.75
Mauritius,10.0,2.0,2.0,50.0,100.0,83.333336,83.333336,51.25
Malawi,6.0,3.0,3.0,31.0,80.0,66.66667,66.66667,27.5
Malaysia,6.0,4.0,4.0,47.0,80.0,50.0,50.0,47.5
Namibia,6.0,2.0,2.0,51.0,80.0,83.333336,83.333336,52.5
Niger,6.0,4.0,4.0,33.0,80.0,50.0,50.0,30.0
Nigeria,4.0,5.0,4.0,27.0,70.0,33.333336,50.0,22.5
Nicaragua,9.0,6.0,7.0,26.0,95.0,16.666664,0.0,21.25
Netherlands,10.0,1.0,1.0,82.0,100.0,100.0,100.0,91.25
Norway,10.0,1.0,1.0,85.0,100.0,100.0,100.0,95.0
Nepal,6.0,4.0,3.0,31.0,80.0,50.0,66.66667,27.5
New Zealand,10.0,1.0,1.0,89.0,100.0,100.0,100.0,100.0
Oman,-8.0,5.0,6.0,44.0,10.0,33.333336,16.666664,43.75
Pakistan,6.0,5.0,5.0,32.0,80.0,33.333336,33.333336,28.75
Panama,9.0,2.0,2.0,37.0,95.0,83.333336,83.333336,35.0
Peru,9.0,3.0,3.0,37.0,95.0,66.66667,66.66667,35.0
Philippines,8.0,4.0,3.0,34.0,90.0,50.0,66.66667,31.25
Papua New Guinea,4.0,3.0,4.0,29.0,70.0,66.66667,50.0,25.0
Poland,10.0,2.0,2.0,60.0,100.0,83.333336,83.333336,63.75
North Korea,-10.0,7.0,7.0,17.0,0.0,0.0,0.0,10.0
Portugal,10.0,1.0,1.0,63.0,100.0,100.0,100.0,67.5
Paraguay,8.0,3.0,3.0,29.0,90.0,66.66667,66.66667,25.0
Qatar,-10.0,5.0,6.0,63.0,0.0,33.333336,16.666664,67.5
Romania,9.0,2.0,2.0,48.0,95.0,83.333336,83.333336,48.75
Russia,4.0,6.0,7.0,29.0,70.0,16.666664,0.0,25.0
Rwanda,-4.0,6.0,6.0,55.0,30.0,16.666664,16.666664,57.5
Saudi Arabia,-10.0,7.0,7.0,49.0,0.0,0.0,0.0,50.0
Sudan,-2.0,6.0,7.0,16.0,40.0,16.666664,0.0,8.75
Senegal,7.0,3.0,3.0,45.0,85.0,66.66667,66.66667,45.0
Singapore,-2.0,4.0,4.0,84.0,40.0,50.0,50.0,93.75
Solomon Islands,8.0,2.0,3.0,39.0,90.0,83.333336,66.66667,37.5
Sierra Leone,7.0,3.0,3.0,30.0,85.0,66.66667,66.66667,26.25
El Salvador,8.0,4.0,3.0,33.0,90.0,50.0,66.66667,30.0
Somalia,0.0,7.0,7.0,9.0,50.0,0.0,0.0,0.0
Serbia,8.0,3.0,4.0,41.0,90.0,66.66667,50.0,40.0
South Sudan,0.0,7.0,7.0,12.0,50.0,0.0,0.0,3.75
Suriname,5.0,2.0,2.0,41.0,75.0,83.333336,83.333336,40.0
Slovak Republic,10.0,1.0,1.0,50.0,100.0,100.0,100.0,51.25
Slovenia,10.0,1.0,1.0,61.0,100.0,100.0,100.0,65.0
Sweden,10.0,1.0,1.0,84.0,100.0,100.0,100.0,93.75
Eswatini,-9.0,6.0,7.0,39.0,5.0,16.666664,0.0,37.5
Syria,-7.0,7.0,7.0,14.0,15.0,0.0,0.0,6.25
Chad,-2.0,6.0,7.0,20.0,40.0,16.666664,0.0,13.75
Togo,-2.0,4.0,5.0,32.0,40.0,50.0,33.333336,28.75
Thailand,7.0,5.0,6.0,37.0,85.0,33.333336,16.666664,35.0
Tajikistan,-3.0,7.0,7.0,21.0,35.0,0.0,0.0,15.0
Turkmenistan,-9.0,7.0,7.0,19.0,5.0,0.0,0.0,12.5
Timor-Leste,7.0,3.0,2.0,38.0,85.0,66.66667,83.333336,36.25
Trinidad and Tobago,10.0,2.0,2.0,41.0,100.0,83.333336,83.333336,40.0
Tunisia,,3.0,4.0,42.0,,66.66667,50.0,41.25
Turkey,9.0,6.0,5.0,40.0,95.0,16.666664,33.333336,38.75
Taiwan,10.0,1.0,1.0,63.0,100.0,100.0,100.0,67.5
Tanzania,-1.0,5.0,5.0,36.0,45.0,33.333336,33.333336,33.75
Uganda,-1.0,5.0,6.0,26.0,45.0,33.333336,16.666664,21.25
Ukraine,6.0,4.0,4.0,30.0,80.0,50.0,50.0,26.25
Uruguay,10.0,1.0,1.0,70.0,100.0,100.0,100.0,76.25
USA,10.0,2.0,2.0,75.0,100.0,83.333336,83.333336,82.5
Uzbekistan,-9.0,6.0,7.0,22.0,5.0,16.666664,0.0,16.25
Venezuela,-3.0,6.0,7.0,18.0,35.0,16.666664,0.0,11.25
Vietnam,-7.0,6.0,7.0,35.0,15.0,16.666664,0.0,32.5
Yemen,-2.0,6.0,7.0,16.0,40.0,16.666664,0.0,8.75
South Africa,9.0,2.0,2.0,43.0,95.0,83.333336,83.333336,42.5
Zambia,7.0,4.0,4.0,37.0,85.0,50.0,50.0,35.0
Zimbabwe,1.0,5.0,6.0,22.0,55.0,33.333336,16.666664,16.25
