country,gov_dem_2011,gov_cli_2022,gov_pri_2022,gov_cpi_2017,gov_dem_2011_n,gov_cli_2022_n,gov_pri_2022_n,gov_cpi_2017_n,gov_s
Afghanistan,,7.0,7.0,15.0,,0.0,0.0,7.5,1.875
Angola,-2.0,5.0,6.0,19.0,40.0,33.333336,16.666664,12.5,25.625
Albania,9.0,3.0,3.0,38.0,95.0,66.66667,66.66667,36.25,66.14583587646484
UAE,-8.0,6.0,7.0,71.0,10.0,16.666664,0.0,77.5,26.04166603088379
Argentina,8.0,2.0,2.0,39.0,90.0,83.333336,83.333336,37.5,73.54166793823242
Armenia,5.0,4.0,4.0,35.0,75.0,50.0,50.0,32.5,51.875
Australia,10.0,1.0,1.0,77.0,100.0,100.0,100.0,85.0,96.25
Austria,10.0,1.0,1.0,75.0,100.0,100.0,100.0,82.5,95.625
Azerbaijan,-7.0,7.0,7.0,31.0,15.0,0.0,0.0,27.5,10.625
Burundi,6.0,6.0,7.0,22.0,80.0,16.666664,0.0,16.25,28.22916603088379
Belgium,8.0,1.0,1.0,75.0,90.0,100.0,100.0,82.5,93.125
Benin,7.0,3.0,5.0,39.0,85.0,66.66667,33.333336,37.5,55.62500190734863
Burkina Faso,0.0,4.0,7.0,42.0,50.0,50.0,0.0,41.25,35.3125
Bangladesh,5.0,5.0,5.0,28.0,75.0,33.333336,33.333336,23.75,41.35416793823242
Bulgaria,9.0,2.0,2.0,43.0,95.0,83.333336,83.333336,42.5,76.04166793823242
Bahrain,-8.0,6.0,7.0,36.0,10.0,16.666664,0.0,33.75,15.104166030883789
Bosnia and Herzegovina,,4.0,4.0,38.0,,50.0,50.0,36.25,34.0625
Belarus,-7.0,7.0,7.0,44.0,15.0,0.0,0.0,43.75,14.6875
Bolivia,7.0,3.0,3.0,33.0,85.0,66.66667,66.66667,30.0,62.083335876464844
Brazil,8.0,3.0,2.0,37.0,90.0,66.66667,83.333336,35.0,68.75000190734863
Bhutan,3.0,4.0,3.0,67.0,65.0,50.0,66.66667,72.5,63.54166793823242
Botswana,8.0,2.0,3.0,61.0,90.0,83.333336,66.66667,65.0,76.25000190734863
Central African Republic,-1.0,7.0,7.0,23.0,45.0,0.0,0.0,17.5,15.625
Canada,10.0,1.0,1.0,82.0,100.0,100.0,100.0,91.25,97.8125
Switzerland,10.0,1.0,1.0,85.0,100.0,100.0,100.0,95.0,98.75
Chile,10.0,1.0,1.0,67.0,100.0,100.0,100.0,72.5,93.125
China,-7.0,6.0,7.0,41.0,15.0,16.666664,0.0,40.0,17.91666603088379
Cote d'Ivoire,0.0,4.0,4.0,36.0,50.0,50.0,50.0,33.75,45.9375
Cameroon,-4.0,6.0,6.0,25.0,30.0,16.666664,16.666664,20.0,20.833332061767578
"Congo, Dem. Rep.",5.0,6.0,7.0,21.0,75.0,16.666664,0.0,15.0,26.66666603088379
"Congo, Rep.",-4.0,6.0,7.0,21.0,30.0,16.666664,0.0,15.0,15.416666030883789
Colombia,7.0,3.0,2.0,37.0,85.0,66.66667,83.333336,35.0,67.50000190734863
Comoros,9.0,4.0,5.0,27.0,95.0,50.0,33.333336,22.5,50.20833396911621
Cape Verde,10.0,1.0,1.0,55.0,100.0,100.0,100.0,57.5,89.375
Costa Rica,10.0,1.0,1.0,59.0,100.0,100.0,100.0,62.5,90.625
Cuba,-7.0,6.0,7.0,47.0,15.0,16.666664,0.0,47.5,19.79166603088379
Cyprus,10.0,1.0,1.0,57.0,100.0,100.0,100.0,60.0,90.0
Czech Republic,8.0,1.0,1.0,57.0,90.0,100.0,100.0,60.0,87.5
Germany,10.0,1.0,1.0,81.0,100.0,100.0,100.0,90.0,97.5
Djibouti,2.0,5.0,7.0,31.0,60.0,33.333336,0.0,27.5,30.20833396911621
Denmark,10.0,1.0,1.0,88.0,100.0,100.0,100.0,98.75,99.6875
Dominican Republic,8.0,3.0,3.0,29.0,90.0,66.66667,66.66667,25.0,62.083335876464844
Algeria,2.0,5.0,6.0,33.0,60.0,33.333336,16.666664,30.0,35.0
Ecuador,5.0,3.0,2.0,32.0,75.0,66.66667,83.333336,28.75,63.43750190734863
Egypt,-2.0,6.0,6.0,32.0,40.0,16.666664,16.666664,28.75,25.520832061767578
Eritrea,-7.0,7.0,7.0,20.0,15.0,0.0,0.0,13.75,7.1875
Spain,10.0,1.0,1.0,57.0,100.0,100.0,100.0,60.0,90.0
Estonia,9.0,1.0,1.0,71.0,95.0,100.0,100.0,77.5,93.125
Ethiopia,1.0,6.0,6.0,35.0,55.0,16.666664,16.666664,32.5,30.208332061767578
Finland,10.0,1.0,1.0,85.0,100.0,100.0,100.0,95.0,98.75
France,9.0,2.0,1.0,70.0,95.0,83.333336,100.0,76.25,88.64583396911621
Gabon,3.0,5.0,7.0,32.0,65.0,33.333336,0.0,28.75,31.77083396911621
UK,10.0,1.0,1.0,82.0,100.0,100.0,100.0,91.25,97.8125
Georgia,6.0,3.0,4.0,56.0,80.0,66.66667,50.0,58.75,63.85416793823242
Ghana,8.0,2.0,2.0,40.0,90.0,83.333336,83.333336,38.75,73.85416793823242
Guinea,5.0,5.0,6.0,27.0,75.0,33.333336,16.666664,22.5,36.875
Gambia,-5.0,4.0,4.0,30.0,25.0,50.0,50.0,26.25,37.8125
Guinea-Bissau,6.0,4.0,5.0,17.0,80.0,50.0,33.333336,10.0,43.33333396911621
Equatorial Guinea,-5.0,7.0,7.0,17.0,25.0,0.0,0.0,10.0,8.75
Greece,10.0,2.0,2.0,48.0,100.0,83.333336,83.333336,48.75,78.85416793823242
Guatemala,8.0,4.0,4.0,28.0,90.0,50.0,50.0,23.75,53.4375
Guyana,6.0,3.0,2.0,38.0,80.0,66.66667,83.333336,36.25,66.56250190734863
Honduras,7.0,4.0,4.0,29.0,85.0,50.0,50.0,25.0,52.5
Croatia,9.0,2.0,2.0,49.0,95.0,83.333336,83.333336,50.0,77.91666793823242
Haiti,0.0,5.0,6.0,22.0,50.0,33.333336,16.666664,16.25,29.0625
Hungary,10.0,3.0,3.0,45.0,100.0,66.66667,66.66667,45.0,69.58333587646484
Indonesia,8.0,4.0,2.0,37.0,90.0,50.0,83.333336,35.0,64.58333396911621
India,9.0,4.0,2.0,40.0,95.0,50.0,83.333336,38.75,66.77083396911621
Ireland,10.0,1.0,1.0,74.0,100.0,100.0,100.0,81.25,95.3125
Iran,-7.0,6.0,7.0,30.0,15.0,16.666664,0.0,26.25,14.479166030883789
Iraq,3.0,6.0,5.0,18.0,65.0,16.666664,33.333336,11.25,31.5625
Israel,10.0,3.0,2.0,62.0,100.0,66.66667,83.333336,66.25,79.06250190734863
Italy,10.0,1.0,1.0,50.0,100.0,100.0,100.0,51.25,87.8125
Jamaica,9.0,2.0,2.0,44.0,95.0,83.333336,83.333336,43.75,76.35416793823242
Jordan,-3.0,5.0,6.0,48.0,35.0,33.333336,16.666664,48.75,33.4375
Japan,10.0,1.0,1.0,73.0,100.0,100.0,100.0,80.0,95.0
Kazakhstan,-6.0,5.0,7.0,31.0,20.0,33.333336,0.0,27.5,20.20833396911621
Kenya,8.0,4.0,4.0,28.0,90.0,50.0,50.0,23.75,53.4375
Kyrgyz Republic,7.0,5.0,7.0,29.0,85.0,33.333336,0.0,25.0,35.83333396911621
Cambodia,2.0,5.0,7.0,21.0,60.0,33.333336,0.0,15.0,27.08333396911621
South Korea,8.0,2.0,2.0,54.0,90.0,83.333336,83.333336,56.25,78.22916793823242
Kuwait,-7.0,5.0,5.0,39.0,15.0,33.333336,33.333336,37.5,29.791667938232422
Lao,-7.0,6.0,7.0,29.0,15.0,16.666664,0.0,25.0,14.166666030883789
Lebanon,7.0,4.0,5.0,28.0,85.0,50.0,33.333336,23.75,48.02083396911621
Liberia,6.0,4.0,3.0,31.0,80.0,50.0,66.66667,27.5,56.04166793823242
Libya,0.0,6.0,7.0,17.0,50.0,16.666664,0.0,10.0,19.16666603088379
Sri Lanka,4.0,4.0,4.0,38.0,70.0,50.0,50.0,36.25,51.5625
Lesotho,8.0,3.0,2.0,42.0,90.0,66.66667,83.333336,41.25,70.31250190734863
Lithuania,10.0,2.0,1.0,59.0,100.0,83.333336,100.0,62.5,86.45833396911621
Latvia,8.0,2.0,1.0,58.0,90.0,83.333336,100.0,61.25,83.64583396911621
Morocco,-4.0,5.0,5.0,40.0,30.0,33.333336,33.333336,38.75,33.85416793823242
Moldova,8.0,3.0,3.0,31.0,90.0,66.66667,66.66667,27.5,62.708335876464844
Madagascar,0.0,4.0,3.0,24.0,50.0,50.0,66.66667,18.75,46.35416793823242
Mexico,8.0,4.0,3.0,29.0,90.0,50.0,66.66667,25.0,57.91666793823242
North Macedonia,9.0,3.0,3.0,35.0,95.0,66.66667,66.66667,32.5,65.20833587646484
Mali,7.0,5.0,6.0,31.0,85.0,33.333336,16.666664,27.5,40.625
Myanmar,-3.0,6.0,7.0,30.0,35.0,16.666664,0.0,26.25,19.47916603088379
Montenegro,9.0,3.0,3.0,46.0,95.0,66.66667,66.66667,46.25,68.64583587646484
Mongolia,10.0,2.0,1.0,36.0,100.0,83.333336,100.0,33.75,79.27083396911621
Mozambique,5.0,4.0,5.0,25.0,75.0,50.0,33.333336,20.0,44.58333396911621
Mauritania,-2.0,5.0,5.0,28.0,40.0,33.333336,33.333336,23.75,32.60416793823242
Mauritius,10.0,2.0,2.0,50.0,100.0,83.333336,83.333336,51.25,79.47916793823242
Malawi,6.0,3.0,3.0,31.0,80.0,66.66667,66.66667,27.5,60.208335876464844
Malaysia,6.0,4.0,4.0,47.0,80.0,50.0,50.0,47.5,56.875
Namibia,6.0,2.0,2.0,51.0,80.0,83.333336,83.333336,52.5,74.79166793823242
Niger,6.0,4.0,4.0,33.0,80.0,50.0,50.0,30.0,52.5
Nigeria,4.0,5.0,4.0,27.0,70.0,33.333336,50.0,22.5,43.95833396911621
Nicaragua,9.0,6.0,7.0,26.0,95.0,16.666664,0.0,21.25,33.22916603088379
Netherlands,10.0,1.0,1.0,82.0,100.0,100.0,100.0,91.25,97.8125
Norway,10.0,1.0,1.0,85.0,100.0,100.0,100.0,95.0,98.75
Nepal,6.0,4.0,3.0,31.0,80.0,50.0,66.66667,27.5,56.04166793823242
New Zealand,10.0,1.0,1.0,89.0,100.0,100.0,100.0,100.0,100.0
Oman,-8.0,5.0,6.0,44.0,10.0,33.333336,16.666664,43.75,25.9375
Pakistan,6.0,5.0,5.0,32.0,80.0,33.333336,33.333336,28.75,43.85416793823242
Panama,9.0,2.0,2.0,37.0,95.0,83.333336,83.333336,35.0,74.16666793823242
Peru,9.0,3.0,3.0,37.0,95.0,66.66667,66.66667,35.0,65.83333587646484
Philippines,8.0,4.0,3.0,34.0,90.0,50.0,66.66667,31.25,59.47916793823242
Papua New Guinea,4.0,3.0,4.0,29.0,70.0,66.66667,50.0,25.0,52.91666793823242
Poland,10.0,2.0,2.0,60.0,100.0,83.333336,83.333336,63.75,82.60416793823242
North Korea,-10.0,7.0,7.0,17.0,0.0,0.0,0.0,10.0,2.5
Portugal,10.0,1.0,1.0,63.0,100.0,100.0,100.0,67.5,91.875
Paraguay,8.0,3.0,3.0,29.0,90.0,66.66667,66.66667,25.0,62.083335876464844
Qatar,-10.0,5.0,6.0,63.0,0.0,33.333336,16.666664,67.5,29.375
Romania,9.0,2.0,2.0,48.0,95.0,83.333336,83.333336,48.75,77.60416793823242
Russia,4.0,6.0,7.0,29.0,70.0,16.666664,0.0,25.0,27.91666603088379
Rwanda,-4.0,6.0,6.0,55.0,30.0,16.666664,16.666664,57.5,30.208332061767578
Saudi Arabia,-10.0,7.0,7.0,49.0,0.0,0.0,0.0,50.0,12.5
Sudan,-2.0,6.0,7.0,16.0,40.0,16.666664,0.0,8.75,16.35416603088379
Senegal,7.0,3.0,3.0,45.0,85.0,66.66667,66.66667,45.0,65.83333587646484
Singapore,-2.0,4.0,4.0,84.0,40.0,50.0,50.0,93.75,58.4375
Solomon Islands,8.0,2.0,3.0,39.0,90.0,83.333336,66.66667,37.5,69.37500190734863
Sierra Leone,7.0,3.0,3.0,30.0,85.0,66.66667,66.66667,26.25,61.145835876464844
El Salvador,8.0,4.0,3.0,33.0,90.0,50.0,66.66667,30.0,59.16666793823242
Somalia,0.0,7.0,7.0,9.0,50.0,0.0,0.0,0.0,12.5
Serbia,8.0,3.0,4.0,41.0,90.0,66.66667,50.0,40.0,61.66666793823242
South Sudan,0.0,7.0,7.0,12.0,50.0,0.0,0.0,3.75,13.4375
Suriname,5.0,2.0,2.0,41.0,75.0,83.333336,83.333336,40.0,70.41666793823242
Slovak Republic,10.0,1.0,1.0,50.0,100.0,100.0,100.0,51.25,87.8125
Slovenia,10.0,1.0,1.0,61.0,100.0,100.0,100.0,65.0,91.25
Sweden,10.0,1.0,1.0,84.0,100.0,100.0,100.0,93.75,98.4375
Eswatini,-9.0,6.0,7.0,39.0,5.0,16.666664,0.0,37.5,14.791666030883789
Syria,-7.0,7.0,7.0,14.0,15.0,0.0,0.0,6.25,5.3125
Chad,-2.0,6.0,7.0,20.0,40.0,16.666664,0.0,13.75,17.60416603088379
Togo,-2.0,4.0,5.0,32.0,40.0,50.0,33.333336,28.75,38.02083396911621
Thailand,7.0,5.0,6.0,37.0,85.0,33.333336,16.666664,35.0,42.5
Tajikistan,-3.0,7.0,7.0,21.0,35.0,0.0,0.0,15.0,12.5
Turkmenistan,-9.0,7.0,7.0,19.0,5.0,0.0,0.0,12.5,4.375
Timor-Leste,7.0,3.0,2.0,38.0,85.0,66.66667,83.333336,36.25,67.81250190734863
Trinidad and Tobago,10.0,2.0,2.0,41.0,100.0,83.333336,83.333336,40.0,76.66666793823242
Tunisia,,3.0,4.0,42.0,,66.66667,50.0,41.25,39.47916793823242
Turkey,9.0,6.0,5.0,40.0,95.0,16.666664,33.333336,38.75,45.9375
Taiwan,10.0,1.0,1.0,63.0,100.0,100.0,100.0,67.5,91.875
Tanzania,-1.0,5.0,5.0,36.0,45.0,33.333336,33.333336,33.75,36.35416793823242
Uganda,-1.0,5.0,6.0,26.0,45.0,33.333336,16.666664,21.25,29.0625
Ukraine,6.0,4.0,4.0,30.0,80.0,50.0,50.0,26.25,51.5625
Uruguay,10.0,1.0,1.0,70.0,100.0,100.0,100.0,76.25,94.0625
USA,10.0,2.0,2.0,75.0,100.0,83.333336,83.333336,82.5,87.29166793823242
Uzbekistan,-9.0,6.0,7.0,22.0,5.0,16.666664,0.0,16.25,9.479166030883789
Venezuela,-3.0,6.0,7.0,18.0,35.0,16.666664,0.0,11.25,15.729166030883789
Vietnam,-7.0,6.0,7.0,35.0,15.0,16.666664,0.0,32.5,16.04166603088379
Yemen,-2.0,6.0,7.0,16.0,40.0,16.666664,0.0,8.75,16.35416603088379
South Africa,9.0,2.0,2.0,43.0,95.0,83.333336,83.333336,42.5,76.04166793823242
Zambia,7.0,4.0,4.0,37.0,85.0,50.0,50.0,35.0,55.0
Zimbabwe,1.0,5.0,6.0,22.0,55.0,33.333336,16.666664,16.25,30.3125
