country,eco_gdp_2022,eco_inflation_2022,eco_invest_2020,eco_trade_2020,eco_gdp_2022_n,eco_inflation_2022_n,eco_invest_2020_n,eco_trade_2020_n
Afghanistan,1430.0,,11.5,-25.9,0.488732,,18.860441,43.11491
Angola,5910.0,16.3,26.5,10.7,2.5859728,7.7077217,45.90696,77.87274
Albania,15500.0,9.87,23.0,-14.5,7.075379,5.321557,39.596107,53.941124
Andorra,56000.0,4.21,,,26.034811,3.2211378,,
UAE,74300.0,13.2,22.8,25.3,34.601665,6.5573163,39.23548,91.7379
Argentina,22400.0,69.5,14.4,3.01,10.305504,27.45018,24.089434,70.5698
Armenia,16000.0,7.99,19.7,-9.96,7.309446,4.623891,33.64587,58.252613
Antigua and Barbuda,21500.0,6.5,,-10.5,9.884184,4.070954,,57.739796
Australia,51000.0,7.12,22.3,3.79,23.69414,4.3010354,38.33393,71.31055
Austria,56300.0,5.3,25.6,3.46,26.175251,3.6256356,44.284172,70.99715
Azerbaijan,15000.0,37.2,23.7,-0.771,6.841312,15.463688,40.858276,66.9791
Burundi,708.0,18.3,11.4,-17.7,0.15073918,8.44992,18.68013,50.902184
Belgium,53200.0,5.89,24.2,2.0,24.724035,3.8445837,41.759827,69.61064
Benin,3440.0,4.14,25.6,-5.09,1.4296815,3.1951606,44.284172,62.877495
Burkina Faso,2160.0,5.89,16.8,2.85,0.8304699,3.8445837,28.416876,70.417854
Bangladesh,6260.0,5.05,31.3,-5.39,2.7498198,3.532861,54.561844,62.592594
Bulgaria,26800.0,16.2,20.3,1.93,12.365294,7.670613,34.72773,69.54416
Bahrain,51900.0,7.73,35.1,5.64,24.115461,4.5274057,61.413628,73.06742
Bahamas,34200.0,-2.17,24.5,-9.75,15.829487,0.8535272,42.30076,58.452045
Bosnia and Herzegovina,16700.0,11.8,23.1,-13.7,7.63714,6.037778,39.77642,54.70085
Belarus,19100.0,13.5,27.5,3.09,8.760662,6.6686454,47.710064,70.645775
Belize,9700.0,7.36,18.5,-6.37,4.360201,4.390099,31.482147,61.661915
Bolivia,8200.0,5.12,15.8,-4.96,3.658,3.5588377,26.613775,63.000954
Brazil,15100.0,8.28,16.1,0.605,6.8881254,4.73151,27.154707,68.28585
Barbados,15100.0,3.99,17.9,-6.39,6.8881254,3.139496,30.40029,61.64293
Brunei,58700.0,24.2,40.6,4.42,27.298773,10.639403,71.33069,71.90883
Bhutan,11300.0,,39.1,-15.7,5.1092157,,68.62603,52.801517
Botswana,15500.0,14.6,32.7,-15.1,7.075379,7.0768547,57.08619,53.371323
Central African Republic,819.0,5.97,26.0,-19.2,0.20270208,3.8742716,45.00541,49.47768
Canada,49000.0,7.19,22.3,-2.24,22.757872,4.327012,38.33393,65.584045
Switzerland,71000.0,2.5,29.6,6.41,33.056824,2.5865588,51.49658,73.798676
Chile,25900.0,6.64,21.1,4.47,11.943974,4.122908,36.170216,71.956314
China,18200.0,2.25,43.4,2.42,8.339341,2.4937842,76.37937,70.00949
Cote d'Ivoire,5540.0,2.75,19.8,0.908,2.412763,2.6793334,33.82618,68.57359
Cameroon,3730.0,5.34,17.7,-3.27,1.5654404,3.6404793,30.039669,64.60589
"Congo, Dem. Rep.",1130.0,8.45,24.6,-1.28,0.34829178,4.7945967,42.48107,66.49573
"Congo, Rep.",3210.0,18.3,23.7,12.1,1.3220108,8.44992,40.858276,79.20228
Colombia,15700.0,14.3,19.1,-7.07,7.169006,6.9655247,32.564014,60.997154
Comoros,3250.0,5.16,11.8,-22.4,1.3407362,3.5736814,19.401371,46.438744
Cape Verde,7690.0,7.74,29.0,-27.8,3.4192514,4.531116,50.414715,41.310543
Costa Rica,22000.0,6.28,16.2,3.67,10.118251,3.9893124,27.335018,71.19658
Cuba,10600.0,14.2,9.88,0.654,4.781522,6.928415,15.939416,68.33238
Cyprus,43600.0,6.07,21.0,-1.37,20.229948,3.9113815,35.989902,66.410255
Czech Republic,41700.0,8.53,26.2,6.75,19.340492,4.8242846,45.36603,74.12156
Germany,53600.0,5.27,22.0,5.81,24.91129,3.6145024,37.793003,73.22887
Djibouti,4990.0,0.674,1.04,8.42,2.1552894,1.9089324,0.0,75.7075
Dominica,11500.0,3.55,,,5.2028427,2.9762123,,
Denmark,59700.0,8.07,22.5,6.48,27.766907,4.6535788,38.694553,73.86515
Dominican Republic,19300.0,10.7,25.4,-7.7,8.854288,5.629569,43.92355,60.398857
Algeria,11200.0,21.5,43.8,-10.4,5.0624022,9.637437,77.10062,57.834755
Ecuador,10900.0,5.26,22.0,2.34,4.9219623,3.6107912,37.793003,69.93352
Egypt,12800.0,10.4,16.0,-7.18,5.8114166,5.518239,26.974396,60.89269
Eritrea,1950.0,,,,0.73216176,,,
Spain,39800.0,4.14,20.5,1.44,18.451038,3.1951606,35.088352,69.07883
Estonia,37800.0,16.6,31.3,0.0814,17.51477,7.819052,54.561844,67.788605
Ethiopia,2380.0,34.7,30.6,-9.75,0.9334594,14.535942,53.299683,58.452045
Finland,49600.0,5.37,24.5,0.0765,23.038752,3.6516125,42.30076,67.78395
Fiji,12000.0,2.47,16.3,-16.7,5.4369097,2.5754256,27.515326,51.85185
France,46000.0,2.95,24.1,-2.13,21.35347,2.7535532,41.57952,65.688515
"Micronesia, Fed. Sts.",3260.0,5.3,,-42.9,1.3454174,3.6256356,,26.970562
Gabon,13900.0,13.9,19.9,24.9,6.3263645,6.817085,34.006493,91.358025
UK,46800.0,5.15,17.6,0.609,21.727976,3.5699706,29.859362,68.28965
Georgia,17000.0,9.1,23.9,-19.3,7.7775803,5.035811,41.2189,49.38272
Ghana,5500.0,28.2,18.2,-3.52,2.394038,12.123799,30.94122,64.36848
Guinea,2700.0,11.0,31.3,-21.7,1.0832623,5.740898,54.561844,47.10351
Gambia,2130.0,10.4,27.5,-28.3,0.81642586,5.518239,47.710064,40.835712
Guinea-Bissau,1860.0,8.35,16.7,-14.9,0.6900297,4.757487,28.23657,53.561253
Equatorial Guinea,14700.0,7.71,,3.76,6.7008715,4.519984,,71.28205
Greece,31500.0,7.85,14.4,-7.71,14.565525,4.5719376,24.089434,60.389366
Grenada,14400.0,1.77,,,6.5604315,2.3156567,,
Guatemala,9160.0,6.22,13.5,-8.45,4.1074085,3.9670465,22.466642,59.686607
Guyana,34400.0,12.0,,,15.923114,6.111997,,
"Hong Kong, China",58500.0,1.81,19.0,1.93,27.205145,2.3305006,32.383698,69.54416
Honduras,5710.0,9.15,18.8,-15.4,2.492346,5.0543656,32.02308,53.08642
Croatia,34000.0,9.46,23.2,-7.0,15.73586,5.1694064,39.956726,61.06363
Haiti,2800.0,30.2,22.8,-20.5,1.1300757,12.865997,39.23548,48.24312
Hungary,35300.0,14.5,27.3,1.93,16.344435,7.0397444,47.349438,69.54416
Indonesia,12400.0,9.57,32.3,1.69,5.624163,5.210227,56.364944,69.31624
India,7100.0,8.23,28.8,-0.394,3.1430523,4.7129545,50.05409,67.337135
Ireland,114000.0,6.58,43.1,18.8,53.18659,4.1006417,75.83844,85.565056
Iran,15300.0,50.6,42.2,-4.96,6.981752,20.436413,74.21565,63.000954
Iraq,9200.0,18.9,22.3,-2.24,4.126134,8.67258,38.33393,65.584045
Iceland,55000.0,8.92,21.4,-1.52,25.566677,4.969013,36.711143,66.26781
Israel,44300.0,4.62,24.1,4.07,20.557642,3.3732884,41.57952,71.576454
Italy,43800.0,2.98,17.7,3.6,20.323574,2.764686,30.039669,71.130104
Jamaica,10000.0,12.8,,,4.5006413,6.4088764,,
Jordan,9320.0,2.6,,,4.18231,2.6236687,,
Japan,41600.0,0.269,25.3,-0.269,19.29368,1.7586373,43.743237,67.45584
Kazakhstan,26100.0,19.8,28.8,4.03,12.0376005,9.006568,50.05409,71.53846
Kenya,4880.0,6.01,19.7,-7.96,2.1037948,3.8891156,33.64587,60.15195
Kyrgyz Republic,5190.0,16.7,,,2.2489164,7.856162,,
Cambodia,4530.0,4.07,24.9,0.71,1.9399477,3.169184,43.022,68.38557
Kiribati,2000.0,4.64,18.2,-71.3,0.75556844,3.3807101,30.94122,0.0
St. Kitts and Nevis,28800.0,3.33,,,13.301562,2.8945708,,
South Korea,45500.0,1.28,31.9,3.69,21.119402,2.1338181,55.643707,71.215576
Kuwait,49200.0,19.0,,,22.851498,8.709689,,
Lao,7950.0,15.8,,,3.5409665,7.522173,,
Lebanon,13200.0,,8.1,-17.4,5.9986706,,12.729897,51.187084
Liberia,1460.0,8.79,,,0.502776,4.92077,,
Libya,19800.0,24.1,,,9.088356,10.602293,,
St. Lucia,15000.0,3.13,,,6.841312,2.8203511,,
Sri Lanka,12200.0,48.8,33.0,-6.16,5.530536,19.768435,57.62712,61.861347
Lesotho,2280.0,4.23,26.1,-52.1,0.88664603,3.2285597,45.185726,18.233622
Lithuania,39600.0,16.5,14.6,9.28,18.35741,7.7819424,24.450054,76.524216
Luxembourg,116000.0,5.68,17.3,34.0,54.122856,3.7666528,29.318426,100.0
Latvia,32700.0,12.8,21.4,1.31,15.127286,6.4088764,36.711143,68.95536
Morocco,8060.0,3.05,28.8,-7.26,3.592461,2.790663,50.05409,60.81671
Monaco,214000.0,2.95,,,100.0,2.7535532,,
Moldova,12900.0,19.3,23.9,-23.4,5.85823,8.821018,41.2189,45.48908
Madagascar,1500.0,8.33,17.7,-8.73,0.5215014,4.7500644,30.039669,59.420704
Maldives,21000.0,3.19,,,9.650117,2.842617,,
Mexico,19500.0,6.72,20.2,1.62,8.947915,4.152596,34.54742,69.24976
Marshall Islands,6120.0,1.07,20.3,-37.0,2.684281,2.0558875,34.72773,32.5736
North Macedonia,17100.0,6.67,29.9,-12.7,7.8243937,4.134041,52.037506,55.65052
Mali,2130.0,5.73,16.5,-5.68,0.81642586,3.785208,27.875948,62.317192
Malta,48200.0,5.27,21.7,14.4,22.383364,3.6145024,37.252075,81.38651
Myanmar,4120.0,6.16,,,1.7480128,3.94478,,
Montenegro,22100.0,12.4,31.2,-35.0,10.165064,6.2604365,54.38154,34.472935
Mongolia,12100.0,17.7,22.4,2.48,5.483723,8.227261,38.514244,70.06648
Mozambique,1240.0,6.4,,,0.39978653,4.033844,,
Mauritania,5440.0,2.23,38.7,-3.96,2.3659499,2.4863622,67.9048,63.95062
Mauritius,22800.0,9.74,18.2,-7.13,10.492758,5.273314,30.94122,60.940174
Malawi,1470.0,21.9,,,0.5074574,9.785876,,
Malaysia,28300.0,6.45,19.7,6.37,13.067495,4.052399,33.64587,73.76069
Namibia,9490.0,6.76,13.9,-9.57,4.261893,4.16744,23.187883,58.622986
Niger,1270.0,3.78,28.5,-16.0,0.41383055,3.0615654,49.513165,52.51662
Nigeria,4960.0,11.3,,,2.1412454,5.8522286,,
Nicaragua,5820.0,8.92,19.4,-5.12,2.5438406,4.969013,33.104942,62.849003
Netherlands,58600.0,5.54,21.8,10.1,27.251959,3.7146993,37.43238,77.30294
Norway,67500.0,28.1,31.4,-0.933,31.418352,12.086689,54.742157,66.825264
Nepal,4000.0,7.33,30.4,-27.3,1.6918367,4.378966,52.939056,41.785378
Nauru,11100.0,5.52,,-47.8,5.0155888,3.7072773,,22.317192
New Zealand,44900.0,5.3,23.0,-0.494,20.838522,3.6256356,39.596107,67.242165
Oman,35300.0,24.6,27.6,2.24,16.344435,10.787843,47.890377,69.838554
Pakistan,5450.0,14.0,14.8,-8.12,2.3706312,6.8541946,24.810675,60.000004
Panama,33300.0,2.45,,,15.408166,2.568004,,
Peru,12700.0,4.38,18.4,1.59,5.7646036,3.2842247,31.30184,69.22127
Philippines,8580.0,5.48,17.4,-7.76,3.835891,3.6924334,29.49874,60.341877
Palau,13500.0,,,,6.1391106,,,
Papua New Guinea,3770.0,15.4,,,1.5841658,7.373733,,
Poland,36800.0,10.8,18.8,5.66,17.046635,5.666679,32.02308,73.086426
North Korea,1620.0,,,,0.5776775,,,
Portugal,35700.0,5.0,19.1,-2.14,16.531689,3.5143056,32.564014,65.679016
Paraguay,13500.0,7.57,20.0,3.78,6.1391106,4.46803,34.1868,71.30104
Palestine,5720.0,1.54,24.3,-36.6,2.4970274,2.230304,41.940132,32.95347
Qatar,97100.0,26.1,43.8,8.22,45.275124,11.344491,77.10062,75.51757
Romania,32700.0,13.4,24.5,-4.31,15.127286,6.6315355,42.30076,63.618237
Russia,27600.0,15.8,23.5,5.08,12.739801,7.522173,40.497658,72.535614
Rwanda,2360.0,16.0,23.6,-16.5,0.92409676,7.5963926,40.67797,52.04179
Saudi Arabia,50000.0,16.7,27.7,0.0905,23.226006,7.856162,48.070683,67.79725
Sudan,3570.0,117.0,5.79,0.295,1.490539,45.077374,8.564732,67.99145
Senegal,3560.0,8.45,35.6,-18.6,1.4858577,4.7945967,62.315178,50.047485
Singapore,108000.0,9.05,22.6,31.2,50.377785,5.0172563,38.87487,97.34093
Solomon Islands,2250.0,6.99,16.7,-4.34,0.872602,4.252792,28.23657,63.589745
Sierra Leone,1640.0,25.3,12.1,-21.4,0.5870402,11.047611,19.9423,47.388412
El Salvador,9400.0,7.52,17.1,-17.4,4.219761,4.449475,28.95781,51.187084
San Marino,64500.0,,18.1,24.1,30.01395,,30.760912,90.59829
Somalia,1160.0,6.54,,-50.4,0.3623358,4.0857983,,19.848055
Serbia,20500.0,10.4,24.2,-8.28,9.41605,5.518239,41.759827,59.848057
South Sudan,386.0,,,,0.0,,,
Sao Tome and Principe,4010.0,16.3,,,1.6965181,7.7077217,,
Suriname,14900.0,43.9,,,6.7944984,17.950052,,
Slovak Republic,33200.0,7.48,19.9,1.62,15.361353,4.434631,34.006493,69.24976
Slovenia,42200.0,6.48,20.1,8.94,19.57456,4.063532,34.367115,76.20133
Sweden,54800.0,5.98,25.1,4.48,25.47305,3.8779826,43.38262,71.96581
Eswatini,9130.0,8.79,12.3,2.95,4.0933647,4.92077,20.302921,70.51282
Seychelles,29800.0,-4.47,56.5,-23.8,13.769697,0.0,100.0,45.109215
Syria,3350.0,,,-18.8,1.3875495,,,49.85755
Chad,1410.0,18.7,20.6,-15.3,0.47936934,8.59836,35.268665,53.18139
Togo,2210.0,5.02,19.8,-8.93,0.8538766,3.5217278,33.82618,59.230774
Thailand,17500.0,4.72,23.7,5.19,8.011647,3.410398,40.858276,72.640076
Tajikistan,4140.0,6.02,33.5,-21.1,1.7573755,3.8928266,58.52867,47.673317
Turkmenistan,14700.0,11.2,,-0.299,6.7008715,5.8151183,,67.42735
Timor-Leste,4090.0,11.4,16.5,-11.4,1.7339687,5.889338,27.875948,56.88509
Tonga,6040.0,,24.5,-44.4,2.6468303,,42.30076,25.54606
Trinidad and Tobago,23500.0,20.8,,,10.820452,9.377666,,
Tunisia,10600.0,7.57,12.5,-8.15,4.781522,4.46803,20.663542,59.971508
Turkey,33000.0,96.0,31.3,-3.1,15.267726,37.284298,54.561844,64.767334
Tuvalu,4590.0,5.55,,,1.9680358,3.7184105,,
Taiwan,58700.0,,,,27.298773,,,
Tanzania,2620.0,2.72,38.7,-0.955,1.0458117,2.6682003,67.9048,66.80437
Uganda,2280.0,4.92,24.2,-6.17,0.88664603,3.4846177,41.759827,61.851856
Ukraine,10700.0,34.3,8.93,-1.51,4.8283353,14.387502,14.226471,66.2773
Uruguay,24400.0,4.41,16.4,4.4,11.241773,3.2953572,27.695637,71.88984
USA,64700.0,7.04,21.1,-2.98,30.107576,4.2713475,36.170216,64.88129
Uzbekistan,8070.0,13.8,40.0,-13.5,3.5971425,6.7799754,70.24883,54.890793
St. Vincent and the Grenadines,14600.0,3.66,,,6.6540585,3.0170333,,
Venezuela,6180.0,,,,2.712369,,,
Vietnam,11400.0,3.86,31.9,5.52,5.156029,3.0912533,55.643707,72.95346
Vanuatu,2790.0,12.4,46.9,-31.6,1.1253943,6.2604365,82.69023,37.70181
Samoa,5120.0,5.64,33.2,-19.1,2.216147,3.751809,57.98774,49.57265
Yemen,1720.0,,,,0.6244909,,,
South Africa,13500.0,4.76,12.5,4.37,6.1391106,3.425242,20.663542,71.86135
Zambia,3300.0,6.1,32.3,14.3,1.3641428,3.9225144,56.364944,81.29156
Zimbabwe,2140.0,265.0,13.1,-2.73,0.8211072,100.0,21.745403,65.118706
Aruba,,3.41,22.7,-13.5,,2.9242587,39.055176,54.890793
American Samoa,,14.2,,-35.9,,6.928415,,33.618237
Bermuda,,2.87,12.2,25.1,,2.723865,20.122612,91.54796
Channel Islands,,,,,,,,
Cayman Islands,,9.52,,13.8,,5.1916723,,80.81672
Faeroe Islands,,3.89,28.5,-1.37,,3.102386,49.513165,66.410255
Isle of Man,,,,,,,,
Greenland,,,31.8,-10.8,,,55.463394,57.454895
Guam,,,,-51.2,,,,19.088322
Kosovo,,6.72,33.4,-32.2,,4.152596,58.348362,37.132004
Liechtenstein,,,,,,,,
"Macao, China",,-0.429,26.1,1.44,,1.4996103,45.185726,69.07883
Northern Mariana Islands,,,,-47.6,,,,22.507126
New Caledonia,,3.85,,,,3.0875423,,
Curaçao,,4.04,,,,3.158051,,
Puerto Rico,,3.18,10.9,17.2,,2.8389058,17.778578,84.04558
French Polynesia,,1.79,22.3,-23.9,,2.3230786,38.33393,45.014244
Sint Maarten (Dutch part),,3.46,,,,2.9428136,,
Turks and Caicos Islands,,2.64,,,,2.6385124,,
Virgin Islands (U.S.),,,,-37.4,,,,32.193733
